date,open,high,low,close,volume,Name
2013-05-21,25.87,26.075,25.59,25.66,26235841,FB
2013-05-22,25.65,25.85,24.92,25.159,45258811,FB
2013-05-23,24.8,25.53,24.77,25.06,37659380,FB
2013-05-24,24.97,24.97,24.08,24.3125,58675970,FB
2013-05-28,24.54,24.54,23.92,24.1,50054886,FB
2013-05-29,23.79,23.81,23.26,23.32,64160837,FB
2013-05-30,24.13,24.779,23.93,24.55,60617851,FB
2013-05-31,24.63,24.95,24.27,24.348,35897146,FB
2013-06-03,24.265,24.32,23.71,23.848,35701572,FB
2013-06-04,23.89,23.93,23.32,23.52,34758418,FB
2013-06-05,23.35,23.705,22.79,22.899,53783403,FB
2013-06-06,22.99,23.09,22.67,22.97,31227999,FB
2013-06-07,23.03,23.4,22.86,23.291,38685767,FB
2013-06-10,24.06,24.6,23.99,24.33,58321671,FB
2013-06-11,24.03,24.35,24.0,24.03,29855079,FB
2013-06-12,24.16,24.26,23.58,23.77,26407850,FB
2013-06-13,23.72,23.83,23.265,23.73,31101772,FB
2013-06-14,23.56,23.89,23.26,23.63,30626805,FB
2013-06-17,23.91,24.25,23.75,24.022,33603061,FB
2013-06-18,24.09,24.69,24.08,24.21,36672094,FB
2013-06-19,24.2,25.19,24.1,24.309,31741274,FB
2013-06-20,24.28,24.745,23.65,23.9,42737997,FB
2013-06-21,24.59,24.7,24.05,24.53,45807968,FB
2013-06-24,23.95,24.11,23.38,23.935,40593692,FB
2013-06-25,24.14,24.43,24.04,24.25,24711324,FB
2013-06-26,24.51,24.65,23.99,24.16,29869415,FB
2013-06-27,24.24,24.84,24.21,24.66,34654256,FB
2013-06-28,24.68,24.98,24.42,24.88,96755618,FB
2013-07-01,24.9694,25.0601,24.62,24.81,20569420,FB
2013-07-02,24.7,24.77,24.3,24.41,18355208,FB
2013-07-03,24.22,24.71,24.15,24.52,10404332,FB
2013-07-05,24.65,24.66,24.2,24.37,20209801,FB
2013-07-08,24.47,25.04,24.42,24.71,27060750,FB
2013-07-09,25.07,25.49,25.03,25.48,30350980,FB
2013-07-10,25.58,25.83,25.47,25.8,26761906,FB
2013-07-11,25.96,26.0,25.45,25.81,26760354,FB
2013-07-12,25.74,25.93,25.55,25.91,16509018,FB
2013-07-15,25.93,26.43,25.65,26.28,24221917,FB
2013-07-16,26.39,26.75,26.01,26.32,30788434,FB
2013-07-17,26.37,26.78,26.3,26.65,21496181,FB
2013-07-18,26.75,26.77,26.12,26.18,24721706,FB
2013-07-19,25.82,26.1077,25.6,25.881,46533765,FB
2013-07-22,25.99,26.13,25.72,26.045,27503120,FB
2013-07-23,26.1,26.3,25.97,26.13,28175456,FB
2013-07-24,26.32,26.53,26.05,26.51,78799081,FB
